# 2026-08-26 조사 관점이 낸 신규 기관 229곳
# 소스: docs/데이터/청소년상담복지센터.csv (공공데이터포털) 223곳 + WebSearch 광역 활동진흥센터 6곳
# 형식: 이름 | 종류 | 지역 | 대문주소 | 공고주소 | 칸 | 메모

# 서울 (25)
유성구청소년상담복지센터 |  지역거점 |  대전 |  http://counsel.happyyc1318.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 연결 안 됨

# 울산 (5)
울산남구청소년상담복지센터 |  지역거점 |  울산 |  http://www.micos1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 연결 안 됨
울산동구청소년상담복지센터 |  지역거점 |  울산 |  https://www.friend5279.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 503
울산북구청소년상담복지센터 |  지역거점 |  울산 |  https://www.bukgu1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
울주군청소년상담복지센터 |  지역거점 |  울산 |  https://www.ulju1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
울주군중부청소년상담복지센터 |  지역거점 |  울산 |  https://www.ulju1388.or.kr | |  심리상담 |  울주군청소년상담복지센터와 같은 사이트(분원) · 실장 확인 연결 안 됨

# 경기 (32)
수원시청소년상담복지센터 |  지역거점 |  경기 |  http://www.syf.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
성남시청소년상담복지센터 |  지역거점 |  경기 |  http://www.snyouth.or.kr | |  심리상담 |  성남시청소년청년재단 산하 1388 · 실장 확인 503
의정부시청소년상담복지센터 |  지역거점 |  경기 |  https://www.uiyouth.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
안양시청소년상담복지센터 |  지역거점 |  경기 |  https://www.ayf.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
부천시청소년상담복지센터 |  지역거점 |  경기 |  https://www.zzang1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
광명시청소년상담복지센터 |  지역거점 |  경기 |  https://www.gmyouth.org | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
평택시청소년상담복지센터 |  지역거점 |  경기 |  https://www.pt1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
동두천시청소년상담복지센터 |  지역거점 |  경기 |  http://1388.tistory.com | |  심리상담 |  티스토리 블로그, 공식 도메인 아님 · 실장 확인 200
안산시청소년상담복지센터 |  지역거점 |  경기 |  https://www.aycc.org | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
